Front,Back,Tags
What is Social Comparison?,"Ward Struthers - Experimental Social Psychologist Academia: the generation and dissemination of knowledge Is the real reason we’re at school to give us an edge in reproducing, surviving, staying sa...",PSYC2120 LOQ Low Extracted Optimized
What is Perception Theory?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ Medium Extracted Optimized
What is because behaviour?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ Low Extracted Optimized
What is Social Cognition?,"Ward Struthers - Experimental Social Psychologist Academia: the generation and dissemination of knowledge Is the real reason we’re at school to give us an edge in reproducing, surviving, staying sa...",PSYC2120 LOQ Medium Extracted Optimized
What is Research methods?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ Medium Extracted Optimized
What is What is research?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ Medium Extracted Optimized
What is awareness theory?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ Medium Extracted Optimized
What is group membership?,4 The Scientific Method: Systematizing the Acquisition of Knowledge LOQ: Outline the steps in the cycle of theory and research Explain why correlation does not mean causation Distinguish between co...,PSYC2120 LOQ Low Extracted Optimized
What is Theory Building?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ Medium Extracted Optimized
What is identity theory?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ Medium Extracted Optimized
What is and behaviours?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ Low Extracted Optimized
What is Observer bias?,3 Cultural Knowledge: The Intuitive Encyclopedia Attribution Theory (Heider; 1958) The view that people act as intuitive scientists when they observe other people’s behaviour and infer explanations...,PSYC2120 LOQ Low Extracted Optimized
What is motive theory?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ Medium Extracted Optimized
What is serving bias?,3 Cultural Knowledge: The Intuitive Encyclopedia Attribution Theory (Heider; 1958) The view that people act as intuitive scientists when they observe other people’s behaviour and infer explanations...,PSYC2120 LOQ Low Extracted Optimized
What is Hedonic Bias?,3 Cultural Knowledge: The Intuitive Encyclopedia Attribution Theory (Heider; 1958) The view that people act as intuitive scientists when they observe other people’s behaviour and infer explanations...,PSYC2120 LOQ Low Extracted Optimized
What is perceptions?,"4 How Culture Helps us Adapt LOQ: Describe how culture influences the way people adapt to the physical, social, and metaphysical environment Explain why socioeconomic development may push a society...",PSYC2120 LOQ Medium Extracted Optimized
What is study that?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ Low Extracted Optimized
What is Behaviour?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ Low Extracted Optimized
What is emotions?,"Social Cognition: How individuals make sense of themselves and other individuals Social neuroscience: How the brain’s structures and functions related to social cognitions, emotions, and behaviours...",PSYC2120 LOQ Low Extracted Optimized
What is Theory?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ Medium Extracted Optimized
